angle_1,velocity_1 angle_2,velocity_2
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0232593
-1.0353,0,2.23379,0
-1.0353,0,2.23382,-0.0697778
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0785
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0465185
-1.0353,0,2.23382,0.0377963
-1.0353,0,2.23379,-0.0552407
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.00581481
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0697778
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0785
-1.0353,0,2.23388,0
-1.0353,0,2.23391,0.0785
-1.0353,0,2.23382,0
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.00581481
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0.00581481
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.0377963
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0610556
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23379,0
-1.0353,0,2.23388,-0.0232593
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.0552407
-1.0353,0,2.23388,0
-1.0353,0,2.23385,0.0232593
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.0232593
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23382,-0.0232593
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.00581481
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0.0552407
-1.0353,0,2.23379,0
-1.0353,0,2.23382,-0.014537
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0232593
-1.0353,0,2.23382,0
-1.0353,0,2.23382,-0.0465185
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0377963
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.014537
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0465185
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23382,0.0465185
-1.0353,0,2.23379,-0.0377963
-1.0353,0,2.23388,0
-1.0353,0,2.23391,0.014537
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23385,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.00581481
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23382,0.014537
-1.0353,0,2.23379,0
-1.0353,0,2.23388,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0232593
-1.0353,0,2.23379,0
-1.0353,0,2.23382,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0552407
-1.0353,0,2.23382,0.0232593
-1.0353,0,2.23379,0
-1.0353,0,2.23388,0
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0.0610556
-1.0353,0,2.23379,0
-1.0353,0,2.23382,-0.0610556
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23382,-0.014537
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23388,0
-1.0353,0,2.23385,0
-1.0353,0,2.23385,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23382,0
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23385,0.0552407
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.014537
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.0377963
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23379,0
-1.0353,0,2.23382,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23379,0
-1.0353,0,2.23388,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23382,0.0465185
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0552407
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0697778
-1.0353,0,2.23388,-0.0232593
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23382,0.0610556
-1.0353,0,2.23379,0
-1.0353,0,2.23388,-0.00581481
-1.0353,0,2.23394,0
-1.0353,0,2.23391,0.0697778
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23379,0
-1.0353,0,2.23388,0
-1.0353,0,2.23394,0
-1.0353,0,2.23385,0.0610556
-1.0353,0,2.23376,0
-1.0353,0,2.23379,-0.0552407
-1.0353,0,2.23391,-0.0290741
-1.0353,0,2.23394,0.0552407
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0.00581481
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0552407
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0465185
-1.0353,0,2.23388,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0.0465185
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.0465185
-1.0353,0,2.23394,0
-1.0353,0,2.23391,0.0697778
-1.0353,0,2.23379,0
-1.0353,0,2.23379,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0232593
-1.0353,0,2.23382,0
-1.0353,0,2.23388,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23382,0
-1.0353,0,2.23385,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23388,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0290741
-1.0353,0,2.23391,0.014537
-1.0353,0,2.23385,0.0232593
-1.0353,0,2.23382,0
-1.0353,0,2.23382,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23394,0.0872222
-1.0353,0,2.23382,0.0232593
-1.0353,0,2.23379,-0.0290741
-1.0353,0,2.23388,-0.0232593
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.00581481
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0785
-1.0353,0,2.23382,0
-1.0353,0,2.23382,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0290741
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0377963
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.00581481
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0377963
-1.0353,0,2.23391,0
-1.0353,0,2.23385,0
-1.0353,0,2.23382,-0.0290741
-1.0353,0,2.23388,-0.0377963
-1.0353,0,2.23391,0.0377963
-1.0353,0,2.23382,0.0465185
-1.0353,0,2.23379,-0.014537
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23379,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23394,0.0465185
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23391,-0.0552407
-1.0353,0,2.23394,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0697778
-1.0353,0,2.23394,0
-1.0353,0,2.23394,0.0872222
-1.0353,0,2.23382,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.00581481
-1.0353,0,2.23394,0
-1.0353,0,2.23388,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23388,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0290741
-1.0353,0,2.23382,0
-1.0353,0,2.23385,0
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0232593
-1.0353,0,2.23382,0
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.00581481
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0290741
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0377963
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0610556
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0697778
-1.0353,0,2.23379,0
-1.0353,0,2.23382,-0.0785
-1.0353,0,2.23391,0
-1.0353,0,2.23394,0.0872222
-1.0353,0,2.23385,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.0290741
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0610556
-1.0353,0,2.23394,0.014537
-1.0353,0,2.23388,0.00581481
-1.0353,0,2.23379,0
-1.0353,0,2.23385,-0.0465185
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0552407
-1.0353,0,2.23382,0
-1.0353,0,2.23385,-0.014537
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0552407
-1.0353,0,2.23391,0
-1.0353,0,2.23391,0.0610556
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.0377963
-1.0353,0,2.23391,0
-1.0353,0,2.23388,0.0465185
-1.0353,0,2.23382,0
-1.0353,0,2.23388,-0.00581481
-1.0353,0,2.23391,0
-1.03533,0,2.23391,0.0377963
-1.03533,0,2.23385,0
-1.03533,0,2.23391,0
-1.03533,0,2.23394,0
-1.03533,0,2.23388,0.0290741
-1.03533,0,2.23382,0
-1.03533,0,2.23391,-0.0290741
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0697778
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.0290741
-1.03533,0,2.23394,0
-1.03533,0,2.23394,0.00581481
-1.03533,0,2.23388,0
-1.03533,0,2.23391,-0.0552407
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0610556
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.014537
-1.03533,0,2.23396,0
-1.03533,0,2.23391,0.0465185
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.0465185
-1.03533,0,2.23394,0
-1.03533,0,2.23388,0.0465185
-1.03533,0,2.23385,0
-1.03533,0,2.23394,-0.0377963
-1.03533,0,2.23396,0.00581481
-1.03533,0,2.23391,0.0552407
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.0465185
-1.03533,0,2.23394,0
-1.03533,0,2.23394,0.00581481
-1.03533,0,2.23388,0
-1.03533,0,2.23391,-0.0465185
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0232593
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.0232593
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0610556
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.0610556
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.014537
-1.03533,0,2.23385,0
-1.03533,0,2.23391,0
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0465185
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.0377963
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0552407
-1.03533,0,2.23385,0
-1.03533,0,2.23391,-0.00581481
-1.03533,0,2.23396,0
-1.03533,0,2.23391,0.0610556
-1.03533,0,2.23385,0
-1.03533,0,2.23388,-0.0610556
-1.03533,0,2.23394,0
-1.03533,0,2.23391,0.0290741
-1.03533,0,2.23385,0
