angle_1,velocity_1 angle_2,velocity_2
-1.36154,0,1.62559,-0.0377963
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0.0552407
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0.0232593
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0.0610556
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0.0465185
-1.36154,0,1.62559,0
-1.36154,0,1.62559,-0.014537
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,-0.0552407
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0.0377963
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,-0.0290741
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,-0.0465185
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0.014537
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
-1.36154,0,1.62559,0
